achievement_id	status	source_png	processed_png	dds	grey_dds	not_eligible_dds	dimensions	alpha_status	notes
ireland_focus_tree_constitutional_neutrality_mastery	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_constitutional_neutrality_mastery.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_constitutional_neutrality_mastery.png	gfx/achievements/ireland_focus_tree_constitutional_neutrality_mastery.dds	gfx/achievements/ireland_focus_tree_constitutional_neutrality_mastery_grey.dds	gfx/achievements/ireland_focus_tree_constitutional_neutrality_mastery_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=967; contrast_sd=53.09; value_range=255
ireland_focus_tree_ports_without_bases	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_ports_without_bases.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_ports_without_bases.png	gfx/achievements/ireland_focus_tree_ports_without_bases.dds	gfx/achievements/ireland_focus_tree_ports_without_bases_grey.dds	gfx/achievements/ireland_focus_tree_ports_without_bases_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=955; contrast_sd=54.17; value_range=255
ireland_focus_tree_ports_without_patrons	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_ports_without_patrons.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_ports_without_patrons.png	gfx/achievements/ireland_focus_tree_ports_without_patrons.dds	gfx/achievements/ireland_focus_tree_ports_without_patrons_grey.dds	gfx/achievements/ireland_focus_tree_ports_without_patrons_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=979; contrast_sd=64.19; value_range=255
ireland_focus_tree_emergency_watch_complete	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_emergency_watch_complete.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_emergency_watch_complete.png	gfx/achievements/ireland_focus_tree_emergency_watch_complete.dds	gfx/achievements/ireland_focus_tree_emergency_watch_complete_grey.dds	gfx/achievements/ireland_focus_tree_emergency_watch_complete_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=984; contrast_sd=48.02; value_range=255
ireland_focus_tree_small_army_long_coast	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_small_army_long_coast.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_small_army_long_coast.png	gfx/achievements/ireland_focus_tree_small_army_long_coast.dds	gfx/achievements/ireland_focus_tree_small_army_long_coast_grey.dds	gfx/achievements/ireland_focus_tree_small_army_long_coast_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=951; contrast_sd=56.13; value_range=255
ireland_focus_tree_watch_the_west	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_watch_the_west.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_watch_the_west.png	gfx/achievements/ireland_focus_tree_watch_the_west.dds	gfx/achievements/ireland_focus_tree_watch_the_west_grey.dds	gfx/achievements/ireland_focus_tree_watch_the_west_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; magenta matte removed; colors=787; contrast_sd=49.9; value_range=255
ireland_focus_tree_no_one_gets_the_ports	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_no_one_gets_the_ports.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_no_one_gets_the_ports.png	gfx/achievements/ireland_focus_tree_no_one_gets_the_ports.dds	gfx/achievements/ireland_focus_tree_no_one_gets_the_ports_grey.dds	gfx/achievements/ireland_focus_tree_no_one_gets_the_ports_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; magenta matte removed; colors=640; contrast_sd=45.98; value_range=255
ireland_focus_tree_ballot_to_belfast	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_ballot_to_belfast.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_ballot_to_belfast.png	gfx/achievements/ireland_focus_tree_ballot_to_belfast.dds	gfx/achievements/ireland_focus_tree_ballot_to_belfast_grey.dds	gfx/achievements/ireland_focus_tree_ballot_to_belfast_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=952; contrast_sd=57.01; value_range=255
ireland_focus_tree_guarded_link	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_guarded_link.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_guarded_link.png	gfx/achievements/ireland_focus_tree_guarded_link.dds	gfx/achievements/ireland_focus_tree_guarded_link_grey.dds	gfx/achievements/ireland_focus_tree_guarded_link_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=1003; contrast_sd=56.01; value_range=255
ireland_focus_tree_cosgrave_settlement	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_cosgrave_settlement.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_cosgrave_settlement.png	gfx/achievements/ireland_focus_tree_cosgrave_settlement.dds	gfx/achievements/ireland_focus_tree_cosgrave_settlement_grey.dds	gfx/achievements/ireland_focus_tree_cosgrave_settlement_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=960; contrast_sd=56.18; value_range=255
ireland_focus_tree_backchannel_without_bases	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_backchannel_without_bases.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_backchannel_without_bases.png	gfx/achievements/ireland_focus_tree_backchannel_without_bases.dds	gfx/achievements/ireland_focus_tree_backchannel_without_bases_grey.dds	gfx/achievements/ireland_focus_tree_backchannel_without_bases_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=954; contrast_sd=56.0; value_range=255
ireland_focus_tree_labour_without_dependency	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_labour_without_dependency.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_labour_without_dependency.png	gfx/achievements/ireland_focus_tree_labour_without_dependency.dds	gfx/achievements/ireland_focus_tree_labour_without_dependency_grey.dds	gfx/achievements/ireland_focus_tree_labour_without_dependency_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=943; contrast_sd=53.6; value_range=255
ireland_focus_tree_red_shannon	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_red_shannon.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_red_shannon.png	gfx/achievements/ireland_focus_tree_red_shannon.dds	gfx/achievements/ireland_focus_tree_red_shannon_grey.dds	gfx/achievements/ireland_focus_tree_red_shannon_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=967; contrast_sd=53.33; value_range=255
ireland_focus_tree_workers_cross_the_border	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_workers_cross_the_border.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_workers_cross_the_border.png	gfx/achievements/ireland_focus_tree_workers_cross_the_border.dds	gfx/achievements/ireland_focus_tree_workers_cross_the_border_grey.dds	gfx/achievements/ireland_focus_tree_workers_cross_the_border_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=980; contrast_sd=48.23; value_range=255
ireland_focus_tree_front_without_masters	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_front_without_masters.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_front_without_masters.png	gfx/achievements/ireland_focus_tree_front_without_masters.dds	gfx/achievements/ireland_focus_tree_front_without_masters_grey.dds	gfx/achievements/ireland_focus_tree_front_without_masters_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=994; contrast_sd=53.36; value_range=255
ireland_focus_tree_corporate_march	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_corporate_march.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_corporate_march.png	gfx/achievements/ireland_focus_tree_corporate_march.dds	gfx/achievements/ireland_focus_tree_corporate_march_grey.dds	gfx/achievements/ireland_focus_tree_corporate_march_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=984; contrast_sd=51.12; value_range=255
ireland_focus_tree_oduffy_against_the_reds	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_oduffy_against_the_reds.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_oduffy_against_the_reds.png	gfx/achievements/ireland_focus_tree_oduffy_against_the_reds.dds	gfx/achievements/ireland_focus_tree_oduffy_against_the_reds_grey.dds	gfx/achievements/ireland_focus_tree_oduffy_against_the_reds_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=1008; contrast_sd=53.79; value_range=255
ireland_focus_tree_chambers_after_the_chief	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_chambers_after_the_chief.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_chambers_after_the_chief.png	gfx/achievements/ireland_focus_tree_chambers_after_the_chief.dds	gfx/achievements/ireland_focus_tree_chambers_after_the_chief_grey.dds	gfx/achievements/ireland_focus_tree_chambers_after_the_chief_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=983; contrast_sd=61.31; value_range=255
ireland_focus_tree_blueshirt_brittle_victory	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_blueshirt_brittle_victory.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_blueshirt_brittle_victory.png	gfx/achievements/ireland_focus_tree_blueshirt_brittle_victory.dds	gfx/achievements/ireland_focus_tree_blueshirt_brittle_victory_grey.dds	gfx/achievements/ireland_focus_tree_blueshirt_brittle_victory_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=999; contrast_sd=57.98; value_range=255
ireland_focus_tree_ira_absorbed_not_broken	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_ira_absorbed_not_broken.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_ira_absorbed_not_broken.png	gfx/achievements/ireland_focus_tree_ira_absorbed_not_broken.dds	gfx/achievements/ireland_focus_tree_ira_absorbed_not_broken_grey.dds	gfx/achievements/ireland_focus_tree_ira_absorbed_not_broken_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=956; contrast_sd=60.87; value_range=255
ireland_focus_tree_plan_kathleen_exposed	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_plan_kathleen_exposed.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_plan_kathleen_exposed.png	gfx/achievements/ireland_focus_tree_plan_kathleen_exposed.dds	gfx/achievements/ireland_focus_tree_plan_kathleen_exposed_grey.dds	gfx/achievements/ireland_focus_tree_plan_kathleen_exposed_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=975; contrast_sd=59.24; value_range=255
ireland_focus_tree_burn_the_contact	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_burn_the_contact.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_burn_the_contact.png	gfx/achievements/ireland_focus_tree_burn_the_contact.dds	gfx/achievements/ireland_focus_tree_burn_the_contact_grey.dds	gfx/achievements/ireland_focus_tree_burn_the_contact_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=1002; contrast_sd=56.19; value_range=255
ireland_focus_tree_revolutionary_all_island	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_revolutionary_all_island.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_revolutionary_all_island.png	gfx/achievements/ireland_focus_tree_revolutionary_all_island.dds	gfx/achievements/ireland_focus_tree_revolutionary_all_island_grey.dds	gfx/achievements/ireland_focus_tree_revolutionary_all_island_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=993; contrast_sd=56.99; value_range=255
ireland_focus_tree_compact_of_small_nations	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_compact_of_small_nations.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_compact_of_small_nations.png	gfx/achievements/ireland_focus_tree_compact_of_small_nations.dds	gfx/achievements/ireland_focus_tree_compact_of_small_nations_grey.dds	gfx/achievements/ireland_focus_tree_compact_of_small_nations_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=990; contrast_sd=55.72; value_range=255
ireland_focus_tree_atlantic_compact	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_atlantic_compact.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_atlantic_compact.png	gfx/achievements/ireland_focus_tree_atlantic_compact.dds	gfx/achievements/ireland_focus_tree_atlantic_compact_grey.dds	gfx/achievements/ireland_focus_tree_atlantic_compact_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=995; contrast_sd=60.18; value_range=255
ireland_focus_tree_conference_of_neutrals	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_conference_of_neutrals.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_conference_of_neutrals.png	gfx/achievements/ireland_focus_tree_conference_of_neutrals.dds	gfx/achievements/ireland_focus_tree_conference_of_neutrals_grey.dds	gfx/achievements/ireland_focus_tree_conference_of_neutrals_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=978; contrast_sd=53.25; value_range=255
ireland_focus_tree_common_platform	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_common_platform.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_common_platform.png	gfx/achievements/ireland_focus_tree_common_platform.dds	gfx/achievements/ireland_focus_tree_common_platform_grey.dds	gfx/achievements/ireland_focus_tree_common_platform_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=897; contrast_sd=54.67; value_range=255
ireland_focus_tree_restoration_without_a_crown	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_restoration_without_a_crown.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_restoration_without_a_crown.png	gfx/achievements/ireland_focus_tree_restoration_without_a_crown.dds	gfx/achievements/ireland_focus_tree_restoration_without_a_crown_grey.dds	gfx/achievements/ireland_focus_tree_restoration_without_a_crown_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=931; contrast_sd=54.11; value_range=255
ireland_focus_tree_cultural_epilogue	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_cultural_epilogue.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_cultural_epilogue.png	gfx/achievements/ireland_focus_tree_cultural_epilogue.dds	gfx/achievements/ireland_focus_tree_cultural_epilogue_grey.dds	gfx/achievements/ireland_focus_tree_cultural_epilogue_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=919; contrast_sd=48.99; value_range=255
ireland_focus_tree_watchmen_of_the_west	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_watchmen_of_the_west.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_watchmen_of_the_west.png	gfx/achievements/ireland_focus_tree_watchmen_of_the_west.dds	gfx/achievements/ireland_focus_tree_watchmen_of_the_west_grey.dds	gfx/achievements/ireland_focus_tree_watchmen_of_the_west_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=910; contrast_sd=48.08; value_range=255
ireland_focus_tree_no_crown_no_courier	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_no_crown_no_courier.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_no_crown_no_courier.png	gfx/achievements/ireland_focus_tree_no_crown_no_courier.dds	gfx/achievements/ireland_focus_tree_no_crown_no_courier_grey.dds	gfx/achievements/ireland_focus_tree_no_crown_no_courier_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=880; contrast_sd=40.82; value_range=255
ireland_focus_tree_amnesty_before_uprising	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_amnesty_before_uprising.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_amnesty_before_uprising.png	gfx/achievements/ireland_focus_tree_amnesty_before_uprising.dds	gfx/achievements/ireland_focus_tree_amnesty_before_uprising_grey.dds	gfx/achievements/ireland_focus_tree_amnesty_before_uprising_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=824; contrast_sd=52.79; value_range=255
ireland_focus_tree_every_county_accounted	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_every_county_accounted.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_every_county_accounted.png	gfx/achievements/ireland_focus_tree_every_county_accounted.dds	gfx/achievements/ireland_focus_tree_every_county_accounted_grey.dds	gfx/achievements/ireland_focus_tree_every_county_accounted_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=837; contrast_sd=59.73; value_range=255
ireland_focus_tree_reconciled_island	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_reconciled_island.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_reconciled_island.png	gfx/achievements/ireland_focus_tree_reconciled_island.dds	gfx/achievements/ireland_focus_tree_reconciled_island_grey.dds	gfx/achievements/ireland_focus_tree_reconciled_island_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=857; contrast_sd=60.49; value_range=255
ireland_focus_tree_no_claim_ladder	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_no_claim_ladder.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_no_claim_ladder.png	gfx/achievements/ireland_focus_tree_no_claim_ladder.dds	gfx/achievements/ireland_focus_tree_no_claim_ladder_grey.dds	gfx/achievements/ireland_focus_tree_no_claim_ladder_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=852; contrast_sd=45.14; value_range=255
ireland_focus_tree_no_fairy_dust	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_no_fairy_dust.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_no_fairy_dust.png	gfx/achievements/ireland_focus_tree_no_fairy_dust.dds	gfx/achievements/ireland_focus_tree_no_fairy_dust_grey.dds	gfx/achievements/ireland_focus_tree_no_fairy_dust_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=959; contrast_sd=58.06; value_range=255
